Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[Study Subject]	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
TGB_051_20	TGB_051_20	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	4	post-flight			R+3(±1d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_21	TGB_051_21	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	4	post-flight			R+30(±7d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_22	TGB_051_22	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	4	post-flight			R+60(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_23	TGB_051_23	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	4	post-flight			R+120(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_01	TGB_052_01	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	5	pre-flight			L-168(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_02	TGB_052_02	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	5	pre-flight			L-112(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_03	TGB_052_03	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	5	pre-flight			L-56(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_04	TGB_052_04	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	5	in-flight			L+5(±1d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_05	TGB_052_05	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	5	in-flight			L+30(±7d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_06	TGB_052_06	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	5	in-flight			L+60(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_07	TGB_052_07	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	5	in-flight			L+120(±14d) or R-8(-14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_08	TGB_052_08	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	5	post-flight			R+3(±1d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_09	TGB_052_09	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	5	post-flight			R+30(±7d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_10	TGB_052_10	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	5	post-flight			R+60(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_11	TGB_052_11	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	5	post-flight			R+120(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_13	TGB_052_13	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	6	pre-flight			L-168(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_14	TGB_052_14	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	6	pre-flight			L-112(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_15	TGB_052_15	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	6	pre-flight			L-56(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_052_16	TGB_052_16	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	6	in-flight			L+5(±1d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
